active_listening,mathematics,reading_comprehension,science,speaking,writing,active_learning,critical_thinking,learning_strategy,monitoring,country
4.8640123101622706e-4,2.8055102449988956e-4,3.8337774368787535e-4,0.009777814683683037,0.0012569069813904831,8.731638174342161e-5,3.7708821972799603e-4,2.1079542093491014e-4,9.243061854005397e-4,2.444316413576838e-4,Argentina
4.1888723440862923e-4,7.306036401135568e-4,8.24322804339374e-4,0.004555924876866543,8.520622063115511e-4,2.2873831533012114e-5,2.3323893742831014e-4,1.0023440027422916e-4,2.767500369474255e-4,1.782081540329226e-4,Brazil
6.932003608760762e-4,3.734362507447003e-4,8.384695490728958e-4,0.013308365759220292,0.0018710333833810672,1.717414379008097e-4,2.614196031689217e-4,3.0752989964926423e-4,0.0015918893689291593,4.958087152120428e-4,Chile
8.539030501935754e-4,2.997298932293064e-4,4.2906773232019666e-4,0.010938880292546466,0.001254116091956185,8.357047975133537e-5,5.391260386590531e-4,5.40676341333441e-4,0.002399798753567254,8.146091254044002e-4,Colombia
0.0012722085373159558,2.793942892536187e-4,0.002450491878484748,0.012877570166409438,0.0015642980579760662,1.370482151071209e-4,2.0950689663903988e-4,3.739391243968828e-4,8.499799639460225e-4,4.1647264531111355e-4,Costa Rica
3.300491738293292e-4,2.3380436079173506e-4,4.0056297335459596e-4,0.006255819925326754,0.0012198870802519507,1.1694790281151875e-5,3.035507138481551e-4,3.1462131351396713e-4,0.0014648013306652915,4.3179077631167335e-4,Ecuador
4.8190064749192374e-4,2.567029082480971e-4,9.206394123776533e-4,0.013664424850622624,0.0012544054801555146,2.963222003312895e-4,2.0835241152405312e-4,4.8197674025991875e-4,0.0012060168299728024,2.213467601332572e-4,Mexico
7.13614996571903e-4,2.0594167658783796e-4,1.9241015028216102e-4,0.009434688636529995,0.0019712588664407165,1.1463768080460488e-4,3.248135016137711e-4,3.8411535661717126e-4,0.0020036439017619943,2.6188601949585433e-4,Uruguay
7.381967811548309e-4,6.198098865106825e-5,4.4959937471560584e-4,0.009127320445411816,0.0015971349865932503,8.713158350946926e-5,5.187926933441407e-4,2.7957496026943086e-4,0.001691966701742514,3.457739476134957e-4,Venezuela
