"","Argentina","Brazil","Chile","Colombia","Costa Rica","Ecuador","Mexico","Uruguay","Venezuela"
"Argentina",1,0.854545454545454,0.903030303030303,0.793939393939394,0.806060606060606,0.793939393939394,0.709090909090909,0.781818181818182,0.903030303030303
"Brazil",0.854545454545454,1,0.83030303030303,0.478787878787879,0.806060606060606,0.587878787878788,0.624242424242424,0.466666666666667,0.575757575757576
"Chile",0.903030303030303,0.83030303030303,1,0.806060606060606,0.927272727272727,0.915151515151515,0.818181818181818,0.709090909090909,0.793939393939394
"Colombia",0.793939393939394,0.478787878787879,0.806060606060606,1,0.684848484848485,0.903030303030303,0.648484848484848,0.951515151515151,0.890909090909091
"Costa Rica",0.806060606060606,0.806060606060606,0.927272727272727,0.684848484848485,1,0.83030303030303,0.781818181818182,0.563636363636364,0.709090909090909
"Ecuador",0.793939393939394,0.587878787878788,0.915151515151515,0.903030303030303,0.83030303030303,1,0.721212121212121,0.76969696969697,0.842424242424242
"Mexico",0.709090909090909,0.624242424242424,0.818181818181818,0.648484848484848,0.781818181818182,0.721212121212121,1,0.636363636363636,0.660606060606061
"Uruguay",0.781818181818182,0.466666666666667,0.709090909090909,0.951515151515151,0.563636363636364,0.76969696969697,0.636363636363636,1,0.854545454545454
"Venezuela",0.903030303030303,0.575757575757576,0.793939393939394,0.890909090909091,0.709090909090909,0.842424242424242,0.660606060606061,0.854545454545454,1
